Geneid	gene	Metastatic..N.58.	Normal..N.52.	Tumor..N.491.	BMI1_1_sorted.bam	BMI1_2_sorted.bam	Length	BMI1_1_rpkm	BMI1_2_rpkm	rank1	rank2	gene_name	T_id
ENSG00000271743.1		0.09833812	0.21279977	0.1165633	3	2	1595	0.188087774	0.12539185	2956	3109	 gene_name CTD-2541M15.3	 cmp_ref T338073
ENSG00000256442.1		0.05714706	0.03908603	0.04237468	1	0	532	0.187969925	0	2957	9720	 gene_name RP11-705C15.4	 cmp_ref T073596
ENSG00000234478.1	ACBD3-AS1	0.7933676	1.6465864	1.9172081	1	1	535	0.186915888	0.186915888	2962	2642	 gene_name RP11-275I14.4	 cmp_ref T031822
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212585
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212581
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212579
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212585
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212581
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212579
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212585
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212581
ENSG00000276649.1		0.2200933	0.1951193	0.1346696	3	2	1607	0.186683261	0.124455507	2964	3112	 gene_name RP5-858L17.1	 cmp_ref T212579
ENSG00000230054.1	TEX53	0.17753835	0.07501858	0.19837001	1	0	536	0.186567164	0	2965	9720	 gene_name RP11-402G3.5	 cmp_ref T365332
ENSG00000256982.1		0.16899465	0.08270214	0.11908033	4	2	2154	0.185701021	0.092850511	2968	3370	 gene_name CTD-2555A7.2	 cmp_ref T138445
ENSG00000260796.1		0.25228279	0.06145975	0.08258944	1	0	540	0.185185185	0	2971	9720	 gene_name RP11-1348G14.5	 cmp_ref T129541
ENSG00000271259.1		0.2628074	0.1282792	0.2303399	1	0	540	0.185185185	0	2971	9720	 gene_name RP11-1109F11.5	 cmp_ref T083622
ENSG00000267774.2		0.01901228	0.15451096	0.04458843	2	1	1081	0.185013876	0.092506938	2974	3374	 gene_name RP11-2N1.2	 cmp_ref T163009
ENSG00000245904.3		0.07612287	0.03472001	0.03456873	14	23	7589	0.184477533	0.303070233	2982	2066	 gene_name RP11-796E2.4	 cmp_ref T083980
ENSG00000245904.3		0.07612287	0.03472001	0.03456873	14	23	7589	0.184477533	0.303070233	2982	2066	 gene_name RP11-796E2.4	 cmp_ref T083981
ENSG00000245904.3		0.07612287	0.03472001	0.03456873	14	23	7589	0.184477533	0.303070233	2982	2066	 gene_name RP11-796E2.4	 cmp_ref T083980
ENSG00000245904.3		0.07612287	0.03472001	0.03456873	14	23	7589	0.184477533	0.303070233	2982	2066	 gene_name RP11-796E2.4	 cmp_ref T083981
ENSG00000230310.1		0.1481827	0.1623599	0.1432291	1	3	543	0.184162063	0.552486188	2984	1471	 gene_name CTD-2192J16.11	 cmp_ref T168933
ENSG00000272255.1		0.05998995	0.01448976	0.02221746	1	0	543	0.184162063	0	2984	9720	 gene_name CTD-3224K15.3	 cmp_ref T289921
ENSG00000224621.1		0.14188036	0.10739463	0.03950925	1	0	544	0.183823529	0	2986	9720	 gene_name RP11-276H7.3	 cmp_ref T003942
ENSG00000269982.1		0.9036572	0.4755881	0.5720465	7	15	3823	0.183102276	0.392362019	2994	1816	 gene_name RP11-1020A11.2	 cmp_ref T237820
ENSG00000253730.1		0.08670657	0.1489579	0.06995272	1	0	547	0.182815356	0	2997	9720	 gene_name RP11-893F2.13	 cmp_ref T150293
ENSG00000274678.1		0.1210349	0.1206971	0.122121	1	0	547	0.182815356	0	2997	9720	 gene_name RP11-2C24.7	 cmp_ref T130484
ENSG00000273123.1		0.1494579	0.2883591	0.1542345	1	0	549	0.182149362	0	3001	9720	 gene_name RP11-9N20.3	 cmp_ref T249358
ENSG00000246375.2	PPM1K-DT	0.2768102	0.5559756	0.7585707	3	2	1654	0.181378476	0.120918984	3008	3141	 gene_name RP11-10L7.1	 cmp_ref T267911
ENSG00000240922.1	LSAMP-AS1	0.08562728	0.89561207	0.65488732	1	1	553	0.180831826	0.180831826	3010	2690	 gene_name LSAMP-AS1	 cmp_ref T248703
ENSG00000253227.1		0.25729925	0.01392648	0.01138065	1	1	553	0.180831826	0.180831826	3010	2690	 gene_name RP11-383J24.1	 cmp_ref T350752
ENSG00000233143.1	DIRC3-AS1	0.018494204	0.015213395	0.009613335	1	0	557	0.179533214	0	3019	9720	 gene_name DIRC3-AS1	 cmp_ref T207432
ENSG00000274508.1		0.079187656	0.009824629	0.029243029	1	0	557	0.179533214	0	3019	9720	 gene_name RP11-212I21.5	 cmp_ref T132848
ENSG00000237637.1	FRY-AS1	0.04964338	0.05268823	0.04895446	2	0	1115	0.179372197	0	3021	9720	 gene_name FRY-AS1	 cmp_ref T092554
ENSG00000258819.1	LINC02289	0.1596901	0.1144082	0.1642784	5	2	2793	0.179018976	0.07160759	3024	3543	 gene_name RP11-7F17.3	 cmp_ref T107806
ENSG00000258819.1	LINC02289	0.1596901	0.1144082	0.1642784	5	2	2793	0.179018976	0.07160759	3024	3543	 gene_name RP11-7F17.3	 cmp_ref T107808
ENSG00000258819.1	LINC02289	0.1596901	0.1144082	0.1642784	5	2	2793	0.179018976	0.07160759	3024	3543	 gene_name RP11-7F17.3	 cmp_ref T107806
ENSG00000258819.1	LINC02289	0.1596901	0.1144082	0.1642784	5	2	2793	0.179018976	0.07160759	3024	3543	 gene_name RP11-7F17.3	 cmp_ref T107808
ENSG00000253133.1		0.0928841	0.1952186	0.1669129	1	0	559	0.178890877	0	3025	9720	 gene_name RP11-360L9.4	 cmp_ref T342855
ENSG00000249996.1		0.09287209	0.20464001	0.09399869	1	2	561	0.178253119	0.356506239	3030	1905	 gene_name RP11-359P5.1	 cmp_ref T288160
ENSG00000225077.2	LINC00337	0.10108667	0.01488861	0.03310957	3	6	1685	0.178041543	0.356083086	3032	1910	 gene_name LINC00337	 cmp_ref T002182
ENSG00000225077.2	LINC00337	0.10108667	0.01488861	0.03310957	3	6	1685	0.178041543	0.356083086	3032	1910	 gene_name LINC00337	 cmp_ref T002183
ENSG00000225077.2	LINC00337	0.10108667	0.01488861	0.03310957	3	6	1685	0.178041543	0.356083086	3032	1910	 gene_name LINC00337	 cmp_ref T002182
ENSG00000225077.2	LINC00337	0.10108667	0.01488861	0.03310957	3	6	1685	0.178041543	0.356083086	3032	1910	 gene_name LINC00337	 cmp_ref T002183
ENSG00000248846.2	LINC02065	0.03249599	0.02720571	0.01246412	1	2	562	0.177935943	0.355871886	3034	1912	 gene_name CTD-2016O11.1	 cmp_ref T283436
ENSG00000262165.1		0.6440298	0.5044343	0.5982223	1	0	562	0.177935943	0	3034	9720	 gene_name RP11-81A22.5	 cmp_ref T140062
ENSG00000205696.4	ADARB2-AS1	0.57078618	0.01496916	0.02535976	2	0	1125	0.177777778	0	3036	9720	 gene_name ADARB2-AS1	 cmp_ref T035443
ENSG00000264932.3		0.0560854	0.07647074	0.06129324	1	0	563	0.177619893	0	3038	9720	 gene_name CTD-2104P17.2	 cmp_ref T143703
ENSG00000255478.1		0.07611771	0.07452038	0.10792354	1	0	564	0.177304965	0	3041	9720	 gene_name RP11-867O8.5	 cmp_ref T061120
ENSG00000269303.1		0.20051269	0.05547731	0.05024168	1	0	565	0.17699115	0	3044	9720	 gene_name CTD-2527I21.7	 cmp_ref T173424
ENSG00000278733.1		0.2865335	0.2708454	0.2534902	1	2	566	0.176678445	0.35335689	3045	1925	 gene_name RP11-425D17.1	 cmp_ref T075893
ENSG00000235601.1	BARX1-DT	0.091915684	0.000669948	0.004840479	3	4	1704	0.176056338	0.234741784	3051	2343	 gene_name BARX1-AS1	 cmp_ref T362790
ENSG00000254362.1		0.04467398	0.0171543	0.01607794	1	0	568	0.176056338	0	3051	9720	 gene_name RP11-14I17.3	 cmp_ref T340851
ENSG00000237489.2	C10orf143	0.473927	0.8836972	0.6496491	5	6	2843	0.175870559	0.211044671	3055	2494	 gene_name LINC00959	 cmp_ref T050957
ENSG00000266677.1		0.03597325	0.02389352	0.02421312	4	3	2279	0.175515577	0.131636683	3059	3071	 gene_name RP11-258F1.1	 cmp_ref T143265
ENSG00000272817.1		0.1260365	0.1772576	0.2109759	1	1	571	0.175131349	0.175131349	3063	2744	 gene_name RP11-402D21.2	 cmp_ref T046166
ENSG00000242396.1		0.0770136	0.2908027	0.5821953	1	3	575	0.173913043	0.52173913	3078	1531	 gene_name RP11-67L3.5	 cmp_ref T011514
ENSG00000234593.1	KAZN-AS1	0.136772726	0.003240311	0.005890626	1	0	579	0.172711572	0	3091	9720	 gene_name RP4-704D23.1	 cmp_ref T003508
ENSG00000244459.2		0.5226536	0.3644807	0.6624624	1	0	579	0.172711572	0	3091	9720	 gene_name RP11-1398P2.1	 cmp_ref T259467
ENSG00000225598.1		0.0232304	0.01807913	0.03782559	1	0	580	0.172413793	0	3096	9720	 gene_name RP11-339D23.1	 cmp_ref T013768
ENSG00000263096.1		0.006908308	0.007792808	0.004592929	3	4	1740	0.172413793	0.229885057	3096	2372	 gene_name RP11-515O17.2	 cmp_ref T150897
ENSG00000263257.1		0.1874002	0.4794169	0.2693552	1	0	580	0.172413793	0	3096	9720	 gene_name RP11-65J21.4	 cmp_ref T127695
ENSG00000253593.2		0.018766369	0.004852878	0.007239572	1	0	582	0.171821306	0	3102	9720	 gene_name RP11-157E21.1	 cmp_ref T352088
ENSG00000272622.1		1.0283998	0.9227216	0.6920291	1	0	584	0.171232877	0	3107	9720	 gene_name RP11-395N3.2	 cmp_ref T208910
ENSG00000267219.1		0.1952779	0.5820131	0.9216623	1	2	585	0.170940171	0.341880342	3112	1959	 gene_name AC010504.2	 cmp_ref T173204
ENSG00000254880.1	PKNOX2-AS1	0.01903207	0.03970911	0.02169533	1	0	586	0.170648464	0	3113	9720	 gene_name PKNOX2-AS1	 cmp_ref T069661
ENSG00000273335.1		0.742325	0.6422366	0.3634963	1	0	586	0.170648464	0	3113	9720	 gene_name RP11-61L19.2	 cmp_ref T158447
ENSG00000223635.1		0.04543012	0.02704027	0.03567547	1	0	591	0.169204738	0	3124	9720	 gene_name RP4-613A2.1	 cmp_ref T032546
ENSG00000226377.1		0.1468887	0.2029781	0.1921945	1	0	591	0.169204738	0	3124	9720	 gene_name AC084809.2	 cmp_ref T145488
ENSG00000236098.1		0.14448643	0.01772821	0.02600662	1	0	592	0.168918919	0	3128	9720	 gene_name RP11-148B18.4	 cmp_ref T015492
ENSG00000260698.1		0.12624441	0.03362094	0.05669155	5	4	2968	0.168463612	0.134770889	3132	3034	 gene_name RP11-439E19.9	 cmp_ref T034621
ENSG00000256940.1		0.292534	0.3021474	0.6466606	1	1	597	0.167504188	0.167504188	3137	2802	 gene_name RP11-783K16.5	 cmp_ref T060613
ENSG00000260123.1		0.10114993	0.06224873	0.03971952	1	0	597	0.167504188	0	3137	9720	 gene_name RP11-326A19.4	 cmp_ref T121726
ENSG00000236914.3	LINC01852	0.280433	0.3501588	0.253395	3	3	1793	0.167317345	0.167317345	3139	2806	 gene_name RP11-1008C21.2	 cmp_ref T114438
ENSG00000236914.3	LINC01852	0.280433	0.3501588	0.253395	3	3	1793	0.167317345	0.167317345	3139	2806	 gene_name RP11-1008C21.2	 cmp_ref T114436
ENSG00000236914.3	LINC01852	0.280433	0.3501588	0.253395	3	3	1793	0.167317345	0.167317345	3139	2806	 gene_name RP11-1008C21.2	 cmp_ref T114438
ENSG00000236914.3	LINC01852	0.280433	0.3501588	0.253395	3	3	1793	0.167317345	0.167317345	3139	2806	 gene_name RP11-1008C21.2	 cmp_ref T114436
ENSG00000268287.1		0.09397409	0.33101161	0.27336854	1	0	598	0.16722408	0	3140	9720	 gene_name CTB-60B18.18	 cmp_ref T178548
ENSG00000258561.1		0.10699961	0.06427972	0.1226396	3	1	1797	0.166944908	0.055648303	3143	3684	 gene_name RP11-72M17.1	 cmp_ref T106092
ENSG00000258561.1		0.10699961	0.06427972	0.1226396	3	1	1797	0.166944908	0.055648303	3143	3684	 gene_name RP11-72M17.1	 cmp_ref T106114
ENSG00000224758.1	LINC01167	0.0697823	0.0436989	0.06522663	1	2	604	0.165562914	0.331125828	3156	1989	 gene_name LINC01167	 cmp_ref T051491
ENSG00000238287.1		0.9490445	0.6167604	1.0453308	1	2	605	0.165289256	0.330578512	3162	1990	 gene_name RP11-656D10.3	 cmp_ref T008833
ENSG00000249249.1		0.2834969	0.7372674	0.495624	2	1	1218	0.164203612	0.082101806	3167	3463	 gene_name AC010226.4	 cmp_ref T287543
ENSG00000249249.1		0.2834969	0.7372674	0.495624	2	1	1218	0.164203612	0.082101806	3167	3463	 gene_name AC010226.4	 cmp_ref T287544
ENSG00000249249.1		0.2834969	0.7372674	0.495624	2	1	1218	0.164203612	0.082101806	3167	3463	 gene_name AC010226.4	 cmp_ref T287543
ENSG00000249249.1		0.2834969	0.7372674	0.495624	2	1	1218	0.164203612	0.082101806	3167	3463	 gene_name AC010226.4	 cmp_ref T287544
ENSG00000235545.1		0.10503717	0.07433003	0.08754598	2	0	1228	0.16286645	0	3178	9720	 gene_name RP11-230B22.1	 cmp_ref T012334
ENSG00000234019.1		0.015507043	0.007479268	0.012340486	1	2	615	0.162601626	0.325203252	3179	2003	 gene_name RP11-236P24.3	 cmp_ref T374974
ENSG00000214546.3		1.7655294	0.6542446	1.4239694	1	3	616	0.162337662	0.487012987	3181	1598	 gene_name AC087491.2	 cmp_ref T146784
ENSG00000263345.1		1.9550993	0.4445038	0.7500168	2	3	1234	0.162074554	0.243111831	3184	2309	 gene_name RP1-59D14.5	 cmp_ref T139579
ENSG00000235902.1		0.1297782	0.08560587	0.06331026	1	0	618	0.161812298	0	3187	9720	 gene_name RP11-626E13.1	 cmp_ref T275887
ENSG00000233397.1		0.06576037	0.08488327	0.14965421	1	0	619	0.161550889	0	3190	9720	 gene_name AC008063.3	 cmp_ref T201988
ENSG00000233509.2	ZNF197-AS1	0.1966181	0.2841225	0.1859103	1	0	623	0.160513644	0	3195	9720	 gene_name ZNF197-AS1	 cmp_ref T241304
ENSG00000270876.1	ZNF30-AS1	0.28484462	0.09799334	0.18912282	1	1	625	0.16	0.16	3198	2856	 gene_name ZNF30-AS1	 cmp_ref T173408
ENSG00000240063.1		0.06554482	0.01166393	0.02097768	3	3	1877	0.159829515	0.159829515	3201	2857	 gene_name RP11-225N10.1	 cmp_ref T255733
ENSG00000261572.1		0.8706798	0.5182517	0.6017956	3	7	1891	0.158646219	0.370174511	3206	1869	 gene_name RP11-384L8.1	 cmp_ref T239798
ENSG00000227101.1		0.012244957	0	0.000198213	1	0	633	0.157977883	0	3212	9720	 gene_name RP11-433J20.2	 cmp_ref T035967
ENSG00000254233.1	LINC02365	0.041880869	0.013580136	0.006432156	2	0	1268	0.157728707	0	3214	9720	 gene_name RP11-242J7.1	 cmp_ref T275615
ENSG00000254233.1	LINC02365	0.041880869	0.013580136	0.006432156	2	0	1268	0.157728707	0	3214	9720	 gene_name RP11-242J7.1	 cmp_ref T275610
ENSG00000259200.1		0.02645123	0.01479846	0.03623575	2	5	1270	0.157480315	0.393700787	3217	1813	 gene_name RP11-718O11.1	 cmp_ref T116076
ENSG00000268603.1		0.06713353	0.29430733	0.2352197	1	0	636	0.157232704	0	3221	9720	 gene_name RP11-316O14.1	 cmp_ref T208206
ENSG00000254038.1		0.033183504	0.008753839	0.005645144	1	0	639	0.156494523	0	3229	9720	 gene_name RP11-419C23.1	 cmp_ref T341960
ENSG00000267532.3	MIR497HG	0.1972218	0.8429961	0.6720453	6	6	3842	0.156168662	0.156168662	3231	2883	 gene_name MIR497HG	 cmp_ref T140691
ENSG00000233068.2		0.018254673	0.005532703	0.015269758	1	0	642	0.15576324	0	3233	9720	 gene_name RP1-140K8.1	 cmp_ref T296249
ENSG00000227098.1		0.0321481	0.03920958	0.03101207	1	0	646	0.154798762	0	3240	9720	 gene_name AC073636.1	 cmp_ref T203523
ENSG00000251325.1		0.574048133	0.006474143	0.016674682	1	1	649	0.154083205	0.154083205	3246	2901	 gene_name RP11-415C15.3	 cmp_ref T262748
ENSG00000272183.1		0.51333616	0.04406034	0.08498736	1	0	649	0.154083205	0	3246	9720	 gene_name RP11-523H20.3	 cmp_ref T192139
ENSG00000263154.1		0.4197028	0.3315601	0.2583628	1	2	665	0.15037594	0.30075188	3261	2080	 gene_name RP11-1055B8.2	 cmp_ref T156427
ENSG00000261616.1		0.1714579	1.3666765	0.4858071	4	4	2677	0.149420994	0.149420994	3270	2934	 gene_name RP11-6O2.3	 cmp_ref T123255
ENSG00000269994.1		0.2422842	0.4113307	0.1470584	3	0	2012	0.149105368	0	3272	9720	 gene_name RP11-276H19.2	 cmp_ref T361647
ENSG00000236230.1		0.03539379	0.01747262	0.04670864	1	0	675	0.148148148	0	3279	9720	 gene_name RP11-400N13.1	 cmp_ref T031028
ENSG00000258955.1	LINC00519	0.06191064	0.20570638	0.08345304	1	0	682	0.146627566	0	3285	9720	 gene_name LINC00519	 cmp_ref T104334
ENSG00000250742.1	LINC02381	4.728644	1.043683	2.013643	2	0	1369	0.146092038	0	3291	9720	 gene_name RP11-834C11.4	 cmp_ref T079649
ENSG00000273747.1		0.19256619	0.09688289	0.18742773	1	0	688	0.145348837	0	3298	9720	 gene_name RP11-90B9.3	 cmp_ref T120968
ENSG00000227477.1	STK4-AS1	0.08351004	0.06927848	0.07941773	3	3	2065	0.14527845	0.14527845	3300	2965	 gene_name STK4-AS1	 cmp_ref T218428
ENSG00000229352.1		0.02719351	0.04052776	0.02299479	1	0	689	0.145137881	0	3301	9720	 gene_name AC007563.3	 cmp_ref T207370
ENSG00000265778.2		0.1742398	0.5364831	0.2237899	2	4	1393	0.143575018	0.287150036	3314	2126	 gene_name RP11-17M16.2	 cmp_ref T164341
ENSG00000265778.2		0.1742398	0.5364831	0.2237899	2	4	1393	0.143575018	0.287150036	3314	2126	 gene_name RP11-17M16.2	 cmp_ref T164342
ENSG00000265778.2		0.1742398	0.5364831	0.2237899	2	4	1393	0.143575018	0.287150036	3314	2126	 gene_name RP11-17M16.2	 cmp_ref T164341
ENSG00000265778.2		0.1742398	0.5364831	0.2237899	2	4	1393	0.143575018	0.287150036	3314	2126	 gene_name RP11-17M16.2	 cmp_ref T164342
ENSG00000205628.2	LINC01446	0.046756317	0.007586916	0.018545213	5	12	3484	0.143513203	0.344431688	3316	1953	 gene_name LINC01446	 cmp_ref T324215
ENSG00000260693.1		0.12108984	0.04695384	0.03223238	1	2	701	0.142653352	0.285306705	3322	2132	 gene_name AC026150.8	 cmp_ref T113567
ENSG00000273387.1		0.2907258	0.4836338	0.3611429	2	0	1410	0.141843972	0	3330	9720	 gene_name RP3-412A9.16	 cmp_ref T232228
ENSG00000274373.1		0.53646157	0.09273203	0.19802872	1	2	705	0.141843972	0.283687943	3330	2139	 gene_name RP13-714J12.1	 cmp_ref T090225
ENSG00000236499.2	LINC00896	0.16648073	0.03110448	0.03328894	3	2	2128	0.140977444	0.093984962	3335	3360	 gene_name LINC00896	 cmp_ref T229470
ENSG00000236499.2	LINC00896	0.16648073	0.03110448	0.03328894	3	2	2128	0.140977444	0.093984962	3335	3360	 gene_name LINC00896	 contained_in ENST00000609602.1
ENSG00000236499.2	LINC00896	0.16648073	0.03110448	0.03328894	3	2	2128	0.140977444	0.093984962	3335	3360	 gene_name LINC00896	 cmp_ref T229470
ENSG00000236499.2	LINC00896	0.16648073	0.03110448	0.03328894	3	2	2128	0.140977444	0.093984962	3335	3360	 gene_name LINC00896	 contained_in ENST00000609602.1
ENSG00000261314.1		0.006873681	0.002877285	0.00428863	1	0	711	0.140646976	0	3338	9720	 gene_name RP11-359E8.5	 cmp_ref T029928
ENSG00000226629.1	LINC00974	0.005959165	0.002565876	0.001240781	3	0	2141	0.140121439	0	3340	9720	 gene_name LINC00974	 cmp_ref T147464
ENSG00000250994.1		0.03878694	0.01428421	0.01253958	1	0	714	0.140056022	0	3341	9720	 gene_name AC005355.1	 cmp_ref T289229
ENSG00000269293.2	ZSCAN16-AS1	3.720631	2.192676	2.44291	3	12	2163	0.138696255	0.554785021	3347	1465	 gene_name ZSCAN16-AS1	 cmp_ref T299727
ENSG00000246777.1		0.06589529	0.05458294	0.06834191	4	2	2894	0.138217001	0.0691085	3352	3564	 gene_name RP11-61A14.4	 cmp_ref T134030
ENSG00000269937.1		0.14626256	0.01861237	0.01480173	5	5	3626	0.137892995	0.137892995	3353	3013	 gene_name RP11-20I23.8	 cmp_ref T125509
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T008998
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T009000
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T008996
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T008998
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T009000
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T008996
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T008998
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T009000
ENSG00000235358.1		0.07264586	0.02366216	0.04455798	2	3	1468	0.136239782	0.204359673	3363	2530	 gene_name RP11-399E6.1	 cmp_ref T008996
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346160
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346156
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346159
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346160
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346156
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346159
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346160
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346156
ENSG00000249395.2	CASC9	0.18594411	0.12642681	0.07199618	2	1	1473	0.135777325	0.067888663	3366	3575	 gene_name CASC9	 cmp_ref T346159
ENSG00000258414.1		5.646974	5.274299	11.254786	1	0	738	0.135501355	0	3369	9720	 gene_name RP11-356O9.1	 cmp_ref T103115
ENSG00000231769.2		0.7733167	0.8375382	0.5277822	1	0	739	0.135317997	0	3371	9720	 gene_name RP1-8B1.4	 cmp_ref T304575
ENSG00000229852.2		0.3038179	0.356669	0.2340713	9	5	6660	0.135135135	0.075075075	3373	3519	 gene_name RP11-398K22.12	 cmp_ref T306574
ENSG00000267501.1		0.13189043	0.0673129	0.09974782	1	0	740	0.135135135	0	3373	9720	 gene_name RP11-108P20.2	 cmp_ref T162874
ENSG00000271590.1		0.137699151	0.008994021	0.0127015	2	0	1482	0.134952767	0	3376	9720	 gene_name RP11-181E10.3	 cmp_ref T196775
ENSG00000259821.1		0.012805669	0.002318117	0.003088957	1	0	744	0.134408602	0	3380	9720	 gene_name RP11-169E6.4	 cmp_ref T131741
ENSG00000267251.2		0.2829192	0.238637	0.2632832	3	2	2232	0.134408602	0.089605735	3380	3405	 gene_name AC139100.3	 cmp_ref T165055
ENSG00000274460.1		0.9672091	0.1208379	0.2931838	2	0	1491	0.134138162	0	3384	9720	 gene_name CTD-2649C14.2	 cmp_ref T128716
ENSG00000232259.1		0.04210772	0.01179254	0.01272241	1	0	748	0.13368984	0	3388	9720	 gene_name RP11-4C20.3	 cmp_ref T050677
ENSG00000258413.1		0.13175503	0.04043039	0.04347368	1	0	748	0.13368984	0	3388	9720	 gene_name RP11-665C16.6	 cmp_ref T104773
ENSG00000258413.1		0.13175503	0.04043039	0.04347368	1	0	748	0.13368984	0	3388	9720	 gene_name RP11-665C16.6	 cmp_ref T104776
ENSG00000258413.1		0.13175503	0.04043039	0.04347368	1	0	748	0.13368984	0	3388	9720	 gene_name RP11-665C16.6	 cmp_ref T104773
ENSG00000258413.1		0.13175503	0.04043039	0.04347368	1	0	748	0.13368984	0	3388	9720	 gene_name RP11-665C16.6	 cmp_ref T104776
ENSG00000253661.1	ZFHX4-AS1	1.10794517	0.19663426	0.03059477	3	2	2251	0.1332741	0.0888494	3394	3409	 gene_name ZFHX4-AS1	 cmp_ref T346304
ENSG00000253661.1	ZFHX4-AS1	1.10794517	0.19663426	0.03059477	3	2	2251	0.1332741	0.0888494	3394	3409	 gene_name ZFHX4-AS1	 cmp_ref T346302
ENSG00000253661.1	ZFHX4-AS1	1.10794517	0.19663426	0.03059477	3	2	2251	0.1332741	0.0888494	3394	3409	 gene_name ZFHX4-AS1	 cmp_ref T346304
ENSG00000253661.1	ZFHX4-AS1	1.10794517	0.19663426	0.03059477	3	2	2251	0.1332741	0.0888494	3394	3409	 gene_name ZFHX4-AS1	 cmp_ref T346302
ENSG00000253661.1	ZFHX4-AS1	1.10794517	0.19663426	0.03059477	3	2	2251	0.1332741	0.0888494	3394	3409	 gene_name ZFHX4-AS1	 cmp_ref T346304
ENSG00000253661.1	ZFHX4-AS1	1.10794517	0.19663426	0.03059477	3	2	2251	0.1332741	0.0888494	3394	3409	 gene_name ZFHX4-AS1	 cmp_ref T346302
ENSG00000261366.1	MANEA-DT	0.1389766	0.1286158	0.1067058	3	0	2268	0.132275132	0	3398	9720	 gene_name MANEA-AS1	 cmp_ref T308314
ENSG00000253308.2		2.7220262	0.4855632	0.8062974	1	2	757	0.132100396	0.264200793	3400	2208	 gene_name RP1-170O19.17	 cmp_ref T320608
ENSG00000272416.1		0.3730051	0.3821792	0.4067079	1	0	759	0.131752306	0	3403	9720	 gene_name CTD-2081C10.7	 cmp_ref T282276
